"Freq [GHz]","mag(AxialRatioValue) [] - Phi='0deg' Theta='0deg'"
2,259.508298857189
2.05,218.506109651476
2.1,174.554134332778
2.15,130.88574802171
2.2,90.8992915602808
2.25,57.3685616839551
2.3,31.9006008755746
2.35,14.8301645795212
2.4,5.45826732702737
2.45,2.56345027365735
2.5,5.2465963686981
2.55,11.6785878099203
2.6,20.7543512168096
2.65,31.6224408922083
2.7,43.6198840668392
2.75,56.2644056187811
2.8,69.2236976610589
2.85,82.2839993310966
2.9,95.3239481574778
2.95,108.294780540686
3,121.205660536524
